"Summary level","Program label","Program","Sub-program","Name","Code","Subsidized units available","% Occupied","# Reported","% Reported","Average months since report","% moved in past year","Number of people per unit","Number of people: total","Average Family Expenditure per month ($$)","Average HUD Expenditure per month ($$)","Household income per year","Household income per year per person","% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more","% Households where wages are major source of income","% Households where welfare is major source of income","% Households with other major sources of income","% of local median (Household income)","% very low income","% extremely low income","% 2+ adults with children","% 1 adult with children","% female head","% female head with children","% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households","% 24 years or less (Head or spouse)","% 25 to 49 years (Head or spouse)","% 51 to 60 (Head or spouse)","% 62 or more (Head or spouse)","% 85 or more (Head or spouse)","% Minority","%Black Non-Hispanic","%Native American Non-Hispanic","%Asian or Pacific Islander Non-Hispanic","%White Non-Hispanic","%Black Hispanic","%White Hispanic","%Other Hispanic","% Hispanic","% Multiple Race","Average months on waiting list","Average months since moved in","% with utility allowance","Average utility allowance $$","% 0 - 1 bedrooms:","% 2 bedrooms","% 3+ bedrooms","% Overhoused","% in poverty (Census tract)","% minority (Census tract)","% single family owners (Census tract)","Congressional District","CBSA","PLACE","Latitude","Longitude","State","PHA Total Units","HA category"
"4","Summary of All HUD Programs","1","NA","Fairfield Housing Authority","AL010","298","96","283","99","6","17","2.6","740","357","590","21325","8155","14","6","30","9","41","49","6","43","27","86","67","1","57","89","54","14","48","9","4","60","13","23","1","99","99","0","-1","1","-1","-1","-1","0","1","9","106","99","181","19","37","43","19","29","98","68","0107","13820","25120","33.471918","-86.913578","AL","298","2"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Fort Payne","AL011","398","101","395","99","5","21","2","776","307","585","14401","7331","17","12","34","15","22","30","1","69","28","90","62","6","31","84","34","29","25","16","6","38","22","34","1","11","7","1","0","89","-1","3","-1","3","1","5","65","100","125","28","41","30","29","23","31","68","0104","22840","27616","34.453838","-85.713343","AL","398","3"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Jasper","AL012","619","79","487","100","5","18","1.8","898","349","635","16945","9189","11","5","39","15","30","28","0","66","30","87","62","1","32","80","31","35","49","23","6","44","21","30","1","42","40","0","1","58","-1","0","0","1","2","5","70","99","174","37","37","26","26","17","28","65","0104","13820","38416","33.828947","-87.286025","AL","619","4"
"4","Summary of All HUD Programs","1","NA","Tarrant Housing Authority","AL013","96","99","94","99","6","12","1.8","171","385","657","17764","9765","5","14","37","14","30","34","13","53","24","93","77","-1","32","88","31","36","36","20","2","47","24","27","3","89","89","-1","-1","11","-1","-1","-1","0","0","12","94","100","118","38","43","19","14","31","81","81","0107","13820","74976","33.570739","-86.782697","AL","96","1"
"4","Summary of All HUD Programs","1","NA","The Guntersville Housing Authority","AL014","522","95","491","99","6","13","1.8","876","327","362","15080","8452","3","8","41","21","27","25","-1","63","28","89","61","2","31","79","30","32","32","20","2","33","24","41","1","31","28","-1","-1","69","0","2","0","3","1","7","80","81","135","34","40","27","31","20","22","73","0104","10700","32416","34.345579","-86.283468","AL","522","4"
"4","Summary of All HUD Programs","1","NA","The Housing Authority of the City of Huntsville","AL047","3567","87","3253","100","5","11","2.4","7731","392","780","16356","6882","15","7","33","13","31","29","1","62","19","96","82","1","50","83","49","28","78","22","3","54","18","25","1","86","82","0","0","14","2","2","0","4","0","16","90","90","149","26","32","42","21","29","64","52","0105","26620","37000","34.732727","-86.586034","AL","3709","6"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Decatur","AL048","1659","57","931","98","6","6","2","1867","382","769","15279","7619","15","8","36","17","25","24","1","73","23","95","75","0","39","82","38","29","58","23","2","45","18","36","3","77","75","0","0","23","0","2","0","2","1","39","121","85","136","30","36","34","31","24","53","62","0105","19460","20104","34.613355","-86.981707","AL","1659","5"
"4","Summary of All HUD Programs","1","NA","Greater Gadsden","AL049","1164","90","1045","100","5","18","2.1","2184","332","691","15920","7617","15","5","41","13","26","28","1","69","28","88","67","3","43","78","43","39","58","23","10","48","17","25","0","71","69","0","0","29","0","2","0","2","0","6","80","95","105","15","53","32","35","38","72","61","0104","23460","28696","34.012401","-86.004826","AL","1164","5"
"4","Summary of All HUD Programs","1","NA","HA AUBURN","AL050","737","79","584","100","4","8","2.7","1560","359","671","15913","5957","18","11","30","12","29","37","0","61","22","95","76","1","63","92","63","21","53","11","3","71","14","12","1","95","92","0","0","5","3","1","-1","3","1","21","86","100","205","13","38","50","20","23","49","51","0103","12220","03076","32.621746","-85.493899","AL","737","4"
"4","Summary of All HUD Programs","1","NA","Housing Authority of Red Bay","AL051","163","98","159","100","5","25","1.5","232","308","617","18858","12924","14","8","23","21","34","41","-1","59","39","75","44","3","18","70","18","26","7","16","12","28","25","35","4","5","4","-1","-1","95","-1","1","-1","1","0","2","65","67","49","47","32","21","38","34","11","73","0104","40770","63576","34.44479","-88.144213","AL","163","2"
"4","Summary of All HUD Programs","1","NA","HA CULLMAN","AL052","513","82","435","100","6","11","1.8","768","338","574","19955","11302","3","5","41","19","32","24","0","72","34","84","57","3","24","74","24","49","28","27","3","35","20","43","2","4","3","0","0","96","-1","1","-1","1","0","17","85","100","140","29","45","26","38","17","14","66","0104","18980","18976","34.17173","-86.852681","AL","513","4"
"4","Summary of All HUD Programs","1","NA","Housing Authority of Hamilton, Alabama","AL053","552","98","542","100","5","24","2.1","1146","316","555","17097","8086","17","9","34","11","29","32","8","59","32","82","60","3","37","77","36","30","38","16","8","48","17","27","1","20","18","1","-1","80","0","1","-1","1","1","11","67","100","152","29","40","32","28","17","12","60","0104","99999","32848","34.142046","-87.97855","AL","552","4"
"4","Summary of All HUD Programs","1","NA","FLORENCE H/A","AL054","691","70","555","100","5","28","1.8","1007","343","577","13994","7712","9","8","44","20","18","19","1","78","23","99","75","1","31","88","31","48","63","33","3","38","20","39","2","45","43","0","-1","55","0","1","0","2","3","7","77","97","153","19","53","28","46","21","30","67","0105","22520","26896","34.797631","-87.678928","AL","691","4"
"4","Summary of All HUD Programs","1","NA","HA CORDOVA","AL055","60","97","58","100","6","19","2","114","357","739","19066","9700","9","2","42","6","42","31","2","59","33","78","59","-1","40","83","36","36","57","24","14","45","17","24","-1","16","16","-1","-1","84","-1","-1","-1","0","2","6","78","100","163","14","38","48","48","19","12","61","0104","13820","17368","33.762757","-87.186829","AL","60","1"
"4","Summary of All HUD Programs","1","NA","Haleyville Housing Authority","AL056","275","97","266","100","5","20","1.8","477","334","548","16913","9431","7","12","38","16","27","25","5","70","33","85","55","3","20","67","17","35","21","18","6","34","20","39","3","5","3","-1","-1","95","-1","2","-1","2","1","2","73","100","75","44","32","24","23","17","13","70","0104","99999","32704","34.232885","-87.619794","AL","275","2"
"4","Summary of All HUD Programs","1","NA","Sylacauga Housing Authority","AL057","626","98","610","100","5","27","1.6","997","310","501","13789","8437","21","5","38","15","21","14","7","78","28","88","64","1","28","76","28","44","42","28","7","36","20","36","1","64","64","0","-1","36","-1","0","-1","0","0","2","78","3","183","57","25","19","14","31","41","68","0103","45180","74352","33.177731","-86.25727","AL","625","4"
"4","Summary of All HUD Programs","1","NA","Winfield Housing Authority","AL058","147","99","145","100","6","11","1.5","220","303","570","20989","13833","3","6","37","19","36","30","-1","70","42","77","43","3","16","72","13","45","25","24","3","28","19","50","5","16","15","-1","-1","84","1","-1","-1","1","0","5","108","100","87","32","50","19","44","19","13","86","0104","99999","82992","33.933038","-87.828688","AL","147","2"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Tuscumbia","AL059","241","96","232","100","7","14","1.7","403","343","590","17354","9991","1","13","45","13","29","33","9","58","29","89","66","2","30","70","29","39","50","26","4","39","24","33","1","31","29","1","-1","69","0","-1","-1","0","1","14","94","100","155","50","23","27","18","18","35","60","0104","22520","77280","34.731974","-87.703729","AL","241","2"
"4","Summary of All HUD Programs","1","NA","HA RUSSELLVILLE","AL060","302","99","297","99","6","18","1.8","536","312","553","15183","8413","14","7","38","17","24","22","0","78","30","88","57","2","27","80","27","39","62","28","4","38","23","34","2","13","11","-1","-1","87","-1","2","1","3","1","4","57","64","148","51","29","20","18","20","47","75","0104","40770","67056","34.496856","-87.727697","AL","302","3"
"4","Summary of All HUD Programs","1","NA","OPELIKA HOUSING AUTHORITY","AL061","531","70","398","100","6","11","2.4","963","395","830","16422","6787","13","14","31","12","30","31","1","68","22","95","73","-1","57","91","56","24","60","16","3","62","15","21","1","95","93","-1","-1","5","1","1","0","2","1","12","118","99","213","8","33","59","42","20","61","54","0103","12220","57048","32.633479","-85.378224","AL","531","4"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Lanett, AL","AL062","362","99","357","99","7","10","2.4","865","268","579","16020","6612","29","5","28","11","27","31","4","64","30","83","63","1","54","84","54","23","28","11","6","56","16","22","1","93","92","0","-1","7","-1","-1","-1","0","0","13","94","100","83","21","30","49","25","20","61","79","0103","29300","99999","32.868165","-85.218344","AL","362","3"
"4","Summary of All HUD Programs","1","NA","H A ONEONTA","AL063","220","95","211","100","6","14","1.5","319","369","535","16597","10978","4","7","38","24","27","16","0","81","24","96","77","-1","21","78","19","60","37","35","1","25","29","45","3","9","9","0","-1","91","-1","0","-1","0","1","6","85","100","221","43","41","16","32","15","29","71","0106","13820","57000","33.945474","-86.466369","AL","220","2"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Carbon Hill","AL064","110","100","110","100","6","21","1.5","165","342","546","21877","14585","1","13","40","15","31","32","-1","68","39","78","58","3","14","65","13","42","34","26","11","28","26","35","2","3","3","-1","-1","97","-1","-1","-1","0","0","3","94","100","144","40","29","31","38","17","10","53","0104","13820","12016","33.885584","-87.519585","AL","110","2"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Roanoke, AL","AL065","50","92","46","100","7","20","2.5","114","233","456","15127","6104","27","7","34","11","20","43","4","48","28","83","76","4","61","93","63","13","88","12","7","70","7","17","-1","91","91","-1","-1","9","-1","-1","-1","0","2","12","103","100","238","15","43","41","15","17","42","62","0103","99999","65040","33.14807","-85.364003","AL","50","1"
"4","Summary of All HUD Programs","1","NA","Housing Authority of Reform","AL066","60","100","56","93","6","2","1.8","101","281","615","16089","8921","4","8","44","21","23","25","-1","68","32","84","59","-1","30","75","29","32","23","18","-1","29","32","39","5","91","91","-1","-1","9","-1","-1","-1","0","4","-1","121","100","149","29","38","34","48","19","39","61","0107","46220","64104","33.381986","-88.019386","AL","60","1"
"4","Summary of All HUD Programs","1","NA","Sheffield Housing Authority","AL068","824","81","736","100","5","17","1.9","1394","359","642","17519","9250","1","5","50","17","27","26","-1","73","29","91","68","2","34","79","34","49","66","32","4","42","23","31","1","57","55","0","0","43","1","0","-1","1","1","20","85","86","209","29","38","32","31","28","40","68","0104","22520","69648","34.763241","-87.696543","AL","824","4"
"4","Summary of All HUD Programs","1","NA","HA LEEDS","AL069","344","81","342","100","5","30","2.4","806","417","633","18187","7717","11","7","28","20","34","33","3","64","23","97","71","1","50","88","51","27","56","18","4","50","13","33","2","64","64","-1","-1","36","-1","-1","-1","0","3","8","60","100","185","25","37","38","21","15","35","68","0106","13820","41968","33.552509","-86.549778","AL","344","3"
"4","Summary of All HUD Programs","1","NA","Housing Authority of Guin, Alabama","AL071","182","100","182","100","5","23","2","363","241","612","16366","8206","31","7","26","11","26","39","1","60","31","81","64","5","30","72","31","23","44","15","12","54","20","15","-1","26","26","-1","-1","74","-1","-1","-1","0","0","2","76","100","56","27","41","32","29","17","15","64","0104","99999","32224","33.966556","-87.926089","AL","182","2"
"4","Summary of All HUD Programs","1","NA","HA COLUMBIANA","AL072","247","90","231","100","5","21","2.4","544","469","563","20681","8782","4","9","22","16","48","44","1","52","27","95","64","1","56","94","55","27","39","14","2","57","17","24","0","58","58","-1","-1","42","-1","-1","-1","0","0","10","55","97","189","13","47","40","27","11","34","68","0106","13820","16768","33.175501","-86.60662","AL","247","2"
"4","Summary of All HUD Programs","1","NA","HOUSING AUTHORITY OF THE CITY OF OZARK","AL073","438","63","206","75","12","1","2.7","552","411","346","16174","6036","11","12","33","16","28","40","0","57","27","91","66","1","57","92","57","19","69","12","1","67","16","17","-1","87","85","-1","-1","13","-1","2","-1","2","0","44","108","94","211","9","32","59","37","21","46","66","0102","37120","57648","31.456890999999995","-85.645638","AL","830","4"
"4","Summary of All HUD Programs","1","NA","Housing Authority of Boston","AL074","90","98","78","89","8","22","1.9","149","230","558","20968","10977","11","7","33","5","44","35","-1","62","40","67","51","6","24","72","26","28","25","15","10","35","24","31","1","6","5","-1","-1","94","-1","1","-1","1","0","6","64","100","136","40","45","15","21","20","5","66","0104","99999","09424","34.024751","-87.756402","AL","90","1"
"4","Summary of All HUD Programs","1","NA","BOAZ HOUSING AUTHORITY","AL075","824","90","742","100","5","14","1.9","1413","358","563","17386","9130","4","9","40","18","28","29","3","68","32","86","56","5","29","83","30","37","38","22","4","36","24","36","1","9","2","0","0","91","0","6","-1","7","0","4","77","99","189","20","50","30","41","24","25","67","0104","10700","07912","34.205784","-86.170731","AL","824","4"
"4","Summary of All HUD Programs","1","NA","HACKLEBURG HOUSING AUTHORITY","AL076","61","100","61","100","6","13","1.9","116","302","589","22878","12031","-1","11","28","18","43","39","-1","61","44","66","41","5","30","72","31","25","19","14","10","33","23","34","7","7","2","-1","-1","93","-1","5","-1","5","0","6","56","100","105","16","48","36","43","18","7","55","0104","99999","32560","34.285799","-87.820229","AL","61","1"
"4","Summary of All HUD Programs","1","NA","HA TUSCALOOSA","AL077","2904","78","2167","96","7","8","2.3","5041","373","660","16271","6995","11","8","37","14","29","26","1","69","23","94","74","1","47","81","47","35","72","23","2","54","16","27","1","95","95","0","-1","5","0","0","-1","0","0","12","99","97","204","15","41","44","38","32","76","55","0107","46220","77256","33.213425","-87.566163","AL","2904","5"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the Town of Berry","AL078","60","97","57","98","6","18","1.8","101","336","373","21032","11870","2","6","35","13","44","32","2","58","42","68","49","2","19","84","18","39","38","22","11","35","18","37","9","14","14","-1","-1","86","-1","-1","-1","0","2","6","94","100","99","28","39","33","46","21","9","56","0104","99999","05932","33.666044","-87.60154","AL","60","1"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the Town of Montevallo","AL079","71","99","67","96","6","10","2.2","146","283","855","19534","8964","12","6","35","12","35","31","4","63","25","87","69","3","42","84","40","31","59","21","4","48","15","33","1","84","82","-1","-1","16","1","-1","-1","1","0","28","126","100","69","16","37","46","39","21","39","63","0106","13820","50312","33.103291","-86.858304","AL","71","1"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Moulton, AL","AL080","58","98","57","100","4","12","1.9","110","404","519","24054","12464","-1","5","44","14","37","44","-1","56","36","75","61","4","32","75","30","51","64","30","5","40","30","25","-1","40","33","2","5","60","-1","-1","-1","0","2","9","78","100","229","32","42","26","26","24","25","69","0104","19460","51600","34.470855","-87.290676","AL","58","1"
"4","Summary of All HUD Programs","1","NA","Bear Creek Housing Authority","AL081","24","100","24","100","6","13","1.8","43","262","627","24112","13458","-1","13","42","13","33","38","-1","63","47","71","54","4","21","92","25","23","27","16","4","38","13","46","-1","4","4","-1","-1","96","-1","-1","-1","0","0","2","80","100","126","29","46","25","25","17","9","54","0104","99999","04852","34.278395","-87.700753","AL","24","1"
"4","Summary of All HUD Programs","1","NA","CROSSVILLE HOUSING AUHTORITY","AL082","30","90","27","100","5","15","1.6","43","365","588","17558","11025","4","7","33","22","33","26","-1","74","35","89","41","-1","22","81","22","33","67","35","11","33","11","44","4","0","-1","-1","-1","100","-1","-1","-1","0","0","4","57","100","227","44","41","15","26","18","19","78","0104","22840","18856","34.285632","-85.996191","AL","30","1"
"4","Summary of All HUD Programs","1","NA","Collinsville Housing Authority","AL083","60","98","59","100","6","24","1.7","98","348","567","16280","9801","-1","20","41","10","29","46","-1","54","32","81","61","3","31","80","31","32","59","28","8","36","19","37","2","12","10","2","-1","88","-1","-1","-1","0","2","10","98","100","139","22","44","34","44","28","42","63","0104","22840","16600","34.258265","-85.868003","AL","60","1"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Vernon, AL","AL084","145","97","141","100","6","13","1.8","254","252","579","13370","7422","29","7","31","11","22","33","3","64","26","87","69","1","36","72","33","27","3","13","11","51","16","22","2","38","36","-1","-1","62","-1","1","-1","1","0","3","82","100","54","35","45","20","25","19","15","56","0104","99999","78480","33.758954","-88.107248","AL","145","2"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the Town of Calera","AL085","126","98","123","99","6","5","2.1","262","285","693","21832","10250","8","3","33","15","42","33","1","62","29","85","65","2","35","76","35","40","58","24","2","43","24","31","2","60","60","-1","-1","40","-1","-1","-1","0","1","19","112","100","67","30","38","32","20","16","46","84","0106","13820","11416","33.096752","-86.758147","AL","126","2"
"4","Summary of All HUD Programs","1","NA","Jefferson County Housing Authority","AL086","2863","90","2605","100","6","6","2.4","6361","387","921","15856","6493","7","7","38","13","34","30","1","55","20","96","78","1","51","89","51","28","74","20","3","56","17","24","1","91","91","0","0","9","0","0","-1","1","0","14","120","99","291","14","31","55","35","23","72","73","0106","13820","99999","33.612065","-86.753427","AL","2863","5"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Hartselle","AL087","186","100","186","100","5","20","1.9","354","410","491","25222","13252","2","8","27","18","46","36","9","55","38","74","47","7","27","74","28","23","40","18","6","32","22","40","2","14","13","-1","-1","86","1","-1","-1","1","1","12","70","64","101","40","32","28","23","13","13","71","0105","19460","33448","34.440363","-86.938151","AL","186","2"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Luverne, AL","AL088","141","100","141","100","5","21","2","284","355","467","20401","10129","5","16","33","12","34","40","2","57","35","79","60","1","41","74","40","21","48","17","10","45","15","30","-1","73","71","1","-1","27","-1","1","-1","1","1","7","83","100","114","26","38","36","30","11","30","69","0102","99999","44728","31.714161999999998","-86.257877","AL","141","2"
"4","Summary of All HUD Programs","1","NA","Vincent Housing Authority","AL089","32","97","31","100","7","23","2.6","80","309","820","16035","6214","16","16","29","13","26","32","-1","68","20","94","81","-1","65","81","61","32","100","19","3","68","10","19","-1","74","71","-1","-1","26","-1","3","-1","3","0","3","102","100","183","6","39","55","39","18","23","67","0106","13820","79008","33.384745","-86.418626","AL","32","1"
"4","Summary of All HUD Programs","1","NA","PHIL CAMPBELL HOUSING AUTHORITY","AL090","118","99","119","100","5","24","1.6","189","351","447","18488","11641","1","3","44","24","28","19","1","80","37","85","45","5","16","75","18","61","77","46","4","27","21","48","3","1","1","-1","-1","99","-1","-1","-1","0","1","4","51","100","187","32","45","24","44","17","8","52","0104","40770","59496","34.345919","-87.708146","AL","118","2"
"4","Summary of All HUD Programs","1","NA","HA ARAB","AL091","177","97","171","99","6","15","1.7","299","394","482","18842","10776","1","2","44","15","37","29","-1","65","36","81","50","2","29","80","27","32","32","21","4","31","20","45","1","1","1","-1","1","99","-1","-1","-1","0","1","12","76","99","154","27","49","24","36","19","11","77","0104","10700","02116","34.314469","-86.506154","AL","177","2"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the Town of Hanceville","AL093","51","94","48","100","5","6","2.5","119","458","678","19600","7906","7","9","28","11","46","33","2","60","31","83","50","6","44","83","44","26","57","18","2","58","10","29","2","8","8","-1","-1","92","-1","-1","-1","0","0","-1","83","100","155","8","17","75","35","13","13","76","0104","18980","32968","34.063564","-86.760115","AL","51","1"
"4","Summary of All HUD Programs","1","NA","HA MILLPORT","AL095","44","100","44","100","5","11","1.6","69","324","507","20576","13121","2","11","20","18","48","34","-1","66","40","82","30","-1","30","68","27","40","14","25","7","39","23","32","9","45","45","-1","-1","55","-1","-1","-1","0","0","30","82","100","179","41","36","23","27","9","14","84","0104","99999","48808","33.560204","-88.075433","AL","44","1"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Heflin","AL096","34","100","34","100","4","12","2.3","79","331","642","17994","7744","-1","21","32","21","26","15","-1","85","29","85","59","3","41","88","41","38","40","22","6","38","26","29","6","29","26","-1","-1","71","3","-1","-1","3","0","7","95","100","142","18","47","35","26","24","13","76","0103","99999","33976","33.5551","-85.636","AL","34","1"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Aliceville","AL098","173","97","167","100","5","11","2.2","368","369","538","18238","8277","2","14","38","11","35","37","10","53","34","79","56","-1","48","87","48","30","47","17","4","49","21","27","1","98","98","-1","-1","2","-1","-1","-1","0","0","3","143","100","136","38","29","32","13","32","59","60","0107","46220","01228","33.135081","-88.14673","AL","173","2"
"4","Summary of All HUD Programs","1","NA","HA SCOTTSBORO","AL099","179","99","178","100","4","11","1.5","264","365","450","15757","10624","3","5","41","36","16","11","1","88","32","97","46","2","15","79","13","51","33","28","-1","20","17","63","3","11","10","1","-1","89","-1","1","-1","1","0","11","71","100","136","18","62","20","62","15","15","72","0105","42460","68736","34.662726","-86.045556","AL","179","2"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Columbia","AL100","17","100","18","100","5","22","2.1","38","378","581","17218","8156","-1","17","39","6","39","56","6","39","29","89","61","-1","44","94","44","17","33","13","11","50","6","33","6","56","56","-1","-1","44","-1","-1","-1","0","0","48041","79","100","125","17","33","50","33","18","21","75","0102","20020","16744","31.296188","-85.10602","AL","17","1"
"4","Summary of All HUD Programs","1","NA","Abbeville Housing Authority","AL101","40","98","39","100","6","21","1.8","70","376","558","24126","13442","-1","10","33","13","44","28","-1","72","39","77","49","5","31","85","33","37","50","27","10","36","23","31","3","72","72","-1","-1","28","-1","-1","-1","0","3","3","88","100","149","21","44","36","49","21","53","67","0102","20020","00124","31.560580000000005","-85.249779","AL","40","1"
"4","Summary of All HUD Programs","1","NA","Altoona Housing Authority","AL102","97","98","95","100","6","12","1.9","183","343","575","15528","8061","-1","18","48","11","23","44","-1","56","26","94","75","2","31","74","25","46","53","27","5","40","23","32","-1","5","-1","-1","-1","95","-1","5","-1","5","0","10","78","100","151","26","56","18","33","18","11","58","0104","23460","01660","34.029052","-86.330249","AL","97","1"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Hartford","AL103","34","100","34","100","4","18","2.1","71","338","538","15413","7381","12","6","50","9","24","32","6","62","25","94","76","3","47","76","47","30","27","14","6","56","6","32","-1","32","26","6","-1","68","-1","-1","-1","0","3","22","78","100","129","18","47","35","35","19","18","72","0102","20020","33424","31.104634999999995","-85.688114","AL","34","1"
